episode	reward	steps	laser_speed	best_reward
1	-106.88	35	0.00	-inf
2	-106.46	39	0.00	-106.88
3	-107.97	44	0.00	-106.46
4	-111.03	50	0.00	-106.46
5	-107.96	54	0.00	-106.46
6	-101.07	55	0.00	-106.46
7	-103.69	61	0.00	-101.07
8	-99.72	61	0.00	-101.07
9	-99.14	61	0.00	-99.72
10	-100.87	61	0.00	-99.14
11	-116.72	65	0.00	-99.14
12	-107.84	67	0.00	-99.14
13	-97.06	69	0.00	-99.14
14	-100.30	70	0.00	-97.06
15	-103.67	72	0.00	-97.06
16	-120.44	75	0.00	-97.06
17	-117.15	79	0.00	-97.06
18	-117.47	84	0.00	-97.06
19	-121.87	85	0.00	-97.06
20	-105.18	86	0.00	-97.06
21	-125.36	90	0.00	-97.06
22	-104.71	91	0.00	-97.06
23	-101.67	95	0.00	-97.06
24	-119.22	99	0.00	-97.06
25	-122.06	100	0.00	-97.06
26	-107.28	40	0.00	-97.06
27	-108.62	47	0.00	-97.06
28	-119.32	105	0.00	-97.06
29	-106.51	105	0.00	-97.06
30	-102.05	107	0.00	-97.06
31	-124.60	107	0.00	-97.06
32	-103.39	73	0.00	-97.06
33	-127.19	109	0.00	-97.06
34	-104.79	115	0.00	-97.06
35	-23.63	115	0.00	-97.06
36	-13.44	123	0.00	-23.63
37	-102.23	54	0.00	-13.44
38	-120.94	128	0.00	-13.44
39	-19.70	130	0.00	-13.44
40	-110.96	46	0.00	-13.44
41	-21.13	131	0.00	-13.44
42	-15.55	131	0.00	-13.44
43	-21.70	133	0.00	-13.44
44	-19.91	133	0.00	-13.44
45	-16.19	133	0.00	-13.44
46	-18.79	133	0.00	-13.44
47	-13.25	133	0.00	-13.44
48	-18.63	134	0.00	-13.25
49	-19.34	135	0.00	-13.25
50	-14.78	135	0.00	-13.25
51	-26.90	135	0.00	-13.25
52	-24.54	138	0.00	-13.25
53	-18.87	138	0.00	-13.25
54	-114.59	49	0.00	-13.25
55	-111.36	49	0.00	-13.25
56	-117.37	95	0.00	-13.25
57	-116.22	86	0.00	-13.25
58	-108.86	58	0.00	-13.25
59	-115.46	103	0.00	-13.25
60	-102.65	73	0.00	-13.25
61	-109.08	58	0.00	-13.25
62	-102.17	64	0.00	-13.25
63	-111.60	86	0.00	-13.25
64	-107.14	55	0.00	-13.25
65	-23.22	133	0.00	-13.25
66	-13.64	133	0.00	-13.25
67	-101.70	75	0.00	-13.25
68	-106.93	76	0.00	-13.25
69	-106.48	33	0.00	-13.25
70	-109.74	77	0.00	-13.25
71	-105.74	57	0.00	-13.25
72	-103.00	70	0.00	-13.25
73	-120.96	76	0.00	-13.25
74	-103.91	81	0.00	-13.25
75	-116.72	71	0.00	-13.25
76	-20.92	133	0.00	-13.25
77	-102.48	60	0.00	-13.25
78	-17.49	134	0.00	-13.25
79	-102.49	66	0.00	-13.25
80	-110.64	64	0.00	-13.25
81	-104.42	66	0.00	-13.25
82	-103.54	62	0.00	-13.25
83	-19.95	139	0.00	-13.25
84	-18.23	132	0.00	-13.25
85	-117.07	127	0.00	-13.25
86	-15.57	136	0.00	-13.25
87	-108.17	71	0.00	-13.25
88	-117.10	75	0.00	-13.25
89	-13.05	133	0.00	-13.25
90	-106.52	70	0.00	-13.05
91	-107.69	42	0.00	-13.05
