episode,reward,steps,laser_speed,best_reward
1,-110.20,35,0.00,-inf
2,-110.14,46,0.00,-110.20
3,-114.07,51,0.00,-110.14
4,-109.13,59,0.00,-110.14
5,-107.13,59,0.00,-109.13
6,-102.11,61,0.00,-107.13
7,-118.21,62,0.00,-102.11
8,-110.43,62,0.00,-102.11
9,-121.04,63,0.00,-102.11
10,-117.02,65,0.00,-102.11
11,-103.03,65,0.00,-102.11
12,-110.60,65,0.00,-102.11
13,-122.93,68,0.00,-102.11
14,-119.23,73,0.00,-102.11
15,-113.17,75,0.00,-102.11
16,-101.93,77,0.00,-102.11
17,-103.76,77,0.00,-101.93
18,-119.20,81,0.00,-101.93
19,-100.77,85,0.00,-101.93
20,-115.97,88,0.00,-100.77
21,-106.59,90,0.00,-100.77
22,-105.86,101,0.00,-100.77
23,-15.28,106,0.00,-100.77
24,-15.37,106,0.00,-15.28
25,-19.33,106,0.00,-15.28
26,-20.22,106,0.00,-15.28
27,-109.91,45,0.00,-15.28
28,-17.24,106,0.00,-15.28
29,-18.25,107,0.00,-15.28
30,-20.39,107,0.00,-15.28
31,-21.48,107,0.00,-15.28
32,-20.66,107,0.00,-15.28
33,-19.47,107,0.00,-15.28
34,-102.24,72,0.00,-15.28
35,-108.74,42,0.00,-15.28
36,-111.00,55,0.00,-15.28
37,-105.96,65,0.00,-15.28
38,-115.25,59,0.00,-15.28
39,-119.85,86,0.00,-15.28
40,-111.01,43,0.00,-15.28
41,-108.69,87,0.00,-15.28
42,-103.98,85,0.00,-15.28
43,-104.79,85,0.00,-15.28
44,-100.95,61,0.00,-15.28
45,-108.19,51,0.00,-15.28
46,-26.92,108,0.00,-15.28
47,-104.14,55,0.00,-15.28
48,-101.24,82,0.00,-15.28
49,-121.35,88,0.00,-15.28
50,-112.08,63,0.00,-15.28
51,-14.43,108,0.00,-15.28
52,-99.59,63,0.00,-14.43
53,-14.65,107,0.00,-14.43
54,-108.40,97,0.00,-14.43
55,-106.54,51,0.00,-14.43
56,-106.29,71,0.00,-14.43
57,-104.06,71,0.00,-14.43
58,-16.83,107,0.00,-14.43
59,-23.87,107,0.00,-14.43
60,-107.77,38,0.00,-14.43
61,-106.33,80,0.00,-14.43
62,-12.86,107,0.00,-14.43
63,-111.58,62,0.00,-12.86
64,-19.68,108,0.00,-12.86
65,-114.97,50,0.00,-12.86
66,-123.37,107,0.00,-12.86
67,-18.94,107,0.00,-12.86
68,-16.37,107,0.00,-12.86
69,-12.54,107,0.00,-12.86
70,-98.68,67,0.00,-12.54
71,-16.02,107,0.00,-12.54
72,-26.22,109,0.00,-12.54
73,-101.18,75,0.00,-12.54
74,-104.45,58,0.00,-12.54
75,-19.18,107,0.00,-12.54
76,-106.59,52,0.00,-12.54
77,-16.40,107,0.00,-12.54
78,-105.51,58,0.00,-12.54
79,-100.02,73,0.00,-12.54
80,-115.50,78,0.00,-12.54
81,-119.80,88,0.00,-12.54
82,-106.75,55,0.00,-12.54
83,-107.95,54,0.00,-12.54
84,-117.33,76,0.00,-12.54
85,-109.04,76,0.00,-12.54
86,-106.23,76,0.00,-12.54
87,-98.64,75,0.00,-12.54
88,-116.30,64,0.00,-12.54
89,-108.85,44,0.00,-12.54
90,-20.68,107,0.00,-12.54
91,-109.02,53,0.00,-12.54
92,-118.31,72,0.00,-12.54
93,-19.66,107,0.00,-12.54
94,-17.18,107,0.00,-12.54
95,-106.98,63,0.00,-12.54
96,-23.03,110,0.00,-12.54
97,-104.70,68,0.00,-12.54
98,-17.58,107,0.00,-12.54
99,-27.07,108,0.00,-12.54
100,-116.93,85,0.00,-12.54
101,-23.52,108,0.00,-12.54
102,-102.77,70,0.00,-12.54
103,-107.61,62,0.00,-12.54
